name,Code,Department,Year,Term,Credits,Lecturer,Core Natural Sciences,Core Mathematics,Core Physics (BPhys),Core Biological Sciences,Core Biochemistry,Core Biological and Medicinal Chemistry,Physics (MPhys),Pre Req,Co Req,Natural Science History,Topic Pathway,Module Descriptor
Electromagnetism and Quantum Mechanics,PHY3055,Physics,3,1,15,,N,N,Y,N,N,N,N,"PHY2021, PHY2022",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3055.html
Methods of Theoratical Physics,PHY3062,Physics,3,1,15,,N,N,N,N,N,N,N,PHY2025,N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3062.html
Nanostructures and Graphene Science,PHY3064,Physics,3,1,15,,N,N,N,N,N,N,N,"PHY2022, PHY2024",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3064.html
Galaxies and High Energy Astrophysics,PHY3066,Physics,3,2,15,,N,N,N,N,N,N,N,"PHY1021, PHY1022",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3066.html
Principles of Theoratical Physics,PHY3068,Physics,3,2,15,,N,N,N,N,N,N,N,"PHY2022, PHY3051/ PHY3055","PHY3051, PHY3055",N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3068.html
Ultrafast Physics,PHY3069,Physics,3,2,15,,N,N,N,N,N,N,N,"PHY2022, PHY2024, PHY3051/3055","PHY3051, PHY3055",N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3069.html
Stars from Birth to Death,PHY3070,Physics,3,1,15,,N,N,N,N,N,N,N,"PHY1022, PHY1026, PHY2023",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3070.html
Soft Matter,PHY3071,Physics,3,2,15,,N,N,N,N,N,N,N,"PHY1021, PHY1024, PHY2021, PHY2025",N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3071.html
MSci Research Project 2 ,NSCM001,Natural Sciences,4,"1,2",60,,Y,N,N,N,N,N,N,NSC3002,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSCM001&ay=2020/1
MSci Research Project 2 Extension,NSCM002,Natural Sciences,4,2,15,,N,N,N,N,N,N,N,NSC3002,NSCM001,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSCM002&ay=2020/1
Mathematical Modelling in Biology and Medicine,NSCM005,Natural Sciences,4,1,15,,N,N,N,N,N,N,N,MTH2003,"PHY1026, PHY1026, PHY2025",Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/naturalsciences/modules/2020/?moduleCode=NSCM005&ay=2020/1
